Size of data,Serial Time (s),Parallel Time (s),Speedup,Speedup (Amdahl's Law),Efficiency,Processors in Parallel
265214,5.33253,0.79543,6.703958865,0.257178274,0.085726091,3
265215,5.32642,0.73892,7.208385211,0.17944537,0.059815123,3
265216,5.36967,0.719199,7.466181127,0.178272091,0.05942403,3
265217,5.37443,0.701341,7.663076877,0.178310003,0.059436668,3
265218,5.28681,0.781309,6.766605786,0.180269622,0.060089874,3
265219,5.61038,0.733508,7.648696401,0.170797616,0.056932539,3
265220,5.37791,0.737562,7.291468378,0.17781685,0.059272283,3
265221,5.3861,0.816711,6.594866483,0.176730371,0.058910124,3
265222,5.41609,0.815701,6.639798161,0.175809019,0.058603006,3
AVERAGE,5.386704444,0.759964556,7.109226365,0.186069913,0.062023304,3
,,,,,,
36692,0.380267,0.341717,1.112812649,1,1,1
36692,0.374805,0.386713,0.969207138,1,1,1
36692,0.387539,0.354243,1.093991977,1,1,1
36692,0.351068,0.377773,0.9293094,1,1,1
36692,0.373273,0.412067,0.905855116,1,1,1
36692,0.420931,0.378135,1.113176511,1,1,1
36692,0.374986,0.347174,1.080109686,1,1,1
36692,0.34675,0.370234,0.936569845,1,1,1
36692,0.362716,0.379055,0.956895437,1,1,1
36692,0.354113,0.33563,1.055069571,1,1,1
AVERAGE,0.3726448,0.3682741,1.015299733,1,1,1
,,,,,,
377,0.177231,0.22123,0.801116485,2.214901562,0.738300521,3
377,0.162653,0.214444,0.758487064,2.263628173,0.754542724,3
377,0.171677,0.262231,0.654678509,2.233216263,0.744405421,3
377,0.190039,0.22311,0.851772668,2.173790177,0.724596726,3
377,0.223127,0.224239,0.995041005,2.074324427,0.691441476,3
377,0.198425,0.195195,1.016547555,2.147689444,0.715896481,3
377,0.183105,0.214926,0.85194439,2.195855688,0.731951896,3
377,0.189167,0.20667,0.91530943,2.176540664,0.725513555,3
377,0.189176,0.191282,0.988990077,2.176512241,0.72550408,3
377,0.174012,0.214408,0.811592851,2.225479665,0.741826555,3
AVERAGE,0.1858612,0.2167735,0.864548004,2.188193831,0.729397944,3
